Interview_ID,organization ,Role ,Research_Question,Theme,Subtheme,Initial_Code,Evidence,Quote,Recommendation
SW01,Malawi Police,Victim Support Unit Social Worker,RQ2,Access Pathways,Victim Support Unit,Entry point to services,Survivors primarily access support by reporting directly to the Victim Support Unit (VSU) located within the police station.,"""Most survivors come to the Victim Support Unit when they need help.""",Increase community awareness about the role of the Victim Support Unit.
SW01,Malawi Police,Victim Support Unit Social Worker,RQ1,Barriers,Fear of Police,Police association,"Survivors are reluctant to approach the Victim Support Unit because it is located within the police, whom they associate with arrests rather than support.","""When survivors hear police, they are afraid because they associate police with arresting people.""",Conduct awareness campaigns to promote the supportive role of the Victim Support Unit.
SW01,Malawi Police,Victim Support Unit Social Worker,RQ1,Barriers,Fear of Perpetrator Arrest,Fear of consequences,Women often avoid reporting abuse because they fear their husbands will be arrested.,"""They are afraid reporting may lead to the arrest of their husband.""",Strengthen survivor-centred counselling and legal awareness.
SW01,Malawi Police,Victim Support Unit Social Worker,RQ1,Barriers,Gender Norms,Male survivor stigma,Male survivors are reluctant to seek help because cultural norms discourage men from identifying as victims of GBV.,"""Men feel it is dehumanising to admit they are victims of abuse.""",Increase awareness that GBV services are available to all survivors regardless of gender.
SW01,Malawi Police,Victim Support Unit Social Worker,RQ4,Challenges,Capacity Building,Outdated training,Staff reported that many social workers received training many years ago and require updated knowledge and skills.,"""Most of these social workers were trained a while ago.""",Provide regular refresher training for GBV service providers.
SW01,Malawi Police,Victim Support Unit Social Worker,RQ4,Challenges,Shelter Availability,Lack of shelters,"The Victim Support Unit does not have shelters to accommodate survivors, limiting the support they can provide.","""We don't have shelters where we can keep survivors.""",Invest in establishing safe shelters linked to Victim Support Units.
SW01,Malawi Police,Victim Support Unit Social Worker,RQ4,Challenges,Limited Services,Walk-in support only,Support is mainly provided on a walk-in basis because survivors cannot be accommodated overnight.,"""Most of our support is walk-in support.""",Expand shelter services to provide temporary accommodation.
SW01,Malawi Police,Victim Support Unit Social Worker,RQ3,Survivor Needs,Medical Support,Hospital referrals,Survivors experiencing physical or sexual violence are referred to hospitals for medical care.,"""Victims of physical or sexual abuse are referred to hospitals.""",Strengthen referral systems between health facilities and the Victim Support Unit.
SW01,Malawi Police,Victim Support Unit Social Worker,RQ3,Survivor Needs,Psychosocial Support,Counselling,Survivors experiencing emotional trauma receive counselling at the Victim Support Unit.,"""We offer counselling for emotional trauma.""",Continue strengthening psychosocial support services.
SW01,Malawi Police,Victim Support Unit Social Worker,RQ3,Survivor Needs,Referral Services,Specialist counselling,Survivors requiring specialised counselling are referred to organisations such as Chance for Change and the Social Welfare Office.,"""We refer survivors to Chance for Change and the Social Welfare Office.""",Strengthen partnerships with specialised counselling providers.
SW01,Malawi Police,Victim Support Unit Social Worker,RQ3,Survivor Needs,Legal Support,Criminal justice referral,Criminal GBV cases are referred to the Criminal Investigation Unit for legal action.,"""Cases requiring arrest are referred to the Criminal Unit.""",Maintain effective coordination between social workers and law enforcement.
SW01,Malawi Police,Victim Support Unit Social Worker,RQ5,Opportunities,Safe Shelters,Shelter establishment,Establishing safe shelters was identified as the highest priority for improving survivor protection.,"""If we had shelters, more survivors would come for help.""",Establish additional safe shelters across the district.
SW01,Malawi Police,Victim Support Unit Social Worker,RQ5,Opportunities,Capacity Building,Professional training,Continuous professional development is needed to improve service delivery for GBV survivors.,"""We need official training to handle different GBV cases.""",Implement regular GBV capacity-building programmes for frontline workers.
SW02,Malawi Police,Regional Child Protection Officer,RQ2,Access Pathways,Police Safe Homes,Temporary accommodation,Police provide temporary accommodation through safe homes located at Class A police stations.,"""Only Class A police stations have safe homes.""",Increase the number of safe homes across districts.
SW02,Malawi Police,Regional Child Protection Officer,RQ2,Access Pathways,Referral System,Referral to Social Welfare,Survivors are referred from the police to the Social Welfare Office for continued care and support.,"""Mostly we refer survivors to the Social Welfare Office.""",Strengthen referral coordination between agencies.
SW02,Malawi Police,Regional Child Protection Officer,RQ2,Access Pathways,Crime Reporting,Police as first point of contact,Most survivors enter the support system when a crime is reported to the police.,"""The first point of contact is when the crime is reported.""",Improve community reporting mechanisms.
SW02,Malawi Police,Regional Child Protection Officer,RQ2,Access Pathways,Crime Prevention Committees,Community referral,Crime Prevention Committees identify GBV cases and refer survivors to the police.,"""Crime Prevention Committees report GBV cases to the police.""",Strengthen community policing structures.
SW02,Malawi Police,Regional Child Protection Officer,RQ2,Access Pathways,Child Protection Committees,Child referral pathway,Child Protection Committees identify vulnerable children and connect them to services.,"""Child Protection Committees refer cases to the police.""",Support child protection committees through training and resources.
SW02,Malawi Police,Regional Child Protection Officer,RQ2,Access Pathways,Mother Groups,School-based referrals,Mother Groups identify and report abuse affecting girls in schools.,"""Mother Groups report cases involving school-going girls.""",Expand school safeguarding initiatives.
SW02,Malawi Police,Regional Child Protection Officer,RQ2,Access Pathways,One-Stop Centre,Integrated service delivery,"Survivors receive medical, psychosocial and legal support in one location.","""Police, social workers, hospital staff and counsellors are all found in one building.""",Establish more One-Stop Centres in other districts.
SW02,Malawi Police,Regional Child Protection Officer,RQ2,Access Pathways,Awareness,Low public awareness,"Despite existing services, many people are unaware of the One-Stop Centre.","""Most people are not really aware about the structure.""",Increase awareness campaigns.
SW02,Malawi Police,Regional Child Protection Officer,RQ1,Barriers,Underreporting,Fear of reporting,Most GBV incidents never reach formal services.,"""Out of ten cases, only about four are reported.""",Strengthen confidential reporting mechanisms.
SW02,Malawi Police,Regional Child Protection Officer,RQ1,Barriers,Financial Dependence,Economic reliance,"Women depend financially on abusive partners, making reporting difficult.","""Most women are financially reliant on the abuser.""",Promote survivor livelihood programmes.
SW02,Malawi Police,Regional Child Protection Officer,RQ1,Barriers,Fear of Family Disruption,Fear of losing support,Survivors fear losing financial support and housing if the perpetrator is arrested.,"""Reporting may leave them without support.""",Increase economic empowerment opportunities.
SW02,Malawi Police,Regional Child Protection Officer,RQ1,Barriers,Distance,Geographical access,Long distances to police safe homes and the One-Stop Centre discourage survivors from seeking help.,"""There is only one One-Stop Centre and two safe homes in Lilongwe.""",Decentralize GBV support services.
SW02,Malawi Police,Regional Child Protection Officer,RQ4,Challenges,Shelter Capacity,Limited accommodation,Police have temporary safe homes but no fully established safe shelters.,"""The police do not own safe shelters.""",Establish dedicated safe shelters.
SW02,Malawi Police,Regional Child Protection Officer,RQ4,Challenges,Staff Capacity,Limited specialised training,Only selected officers have adequate training to support survivors.,"""Not all police are trained to handle survivor cases.""",Provide continuous GBV training for all officers.
SW02,Malawi Police,Regional Child Protection Officer,RQ5,Opportunities,Funding,Resource mobilisation,Increased funding would improve infrastructure and survivor support.,"""If the police were funded they would have more structures.""",Increase government investment in GBV services.
SW02,Malawi Police,Regional Child Protection Officer,RQ5,Opportunities,Multi-sector Collaboration,Joint awareness,"Police, health workers and social workers should conduct awareness campaigns together.","""Hospital staff, social workers and police should conduct awareness together.""",Strengthen multi-sector collaboration.
SW02,Malawi Police,Regional Child Protection Officer,RQ5,Opportunities,Service Provider Capacity,Survivor-centred practice,Some service providers are reluctant to assist survivors because they may later be required to testify in court.,"""Some service workers are reluctant because they may be called as witnesses.""",Strengthen survivor-centred practice and staff support.
SW02,Malawi Police,Regional Child Protection Officer,RQ5,Opportunities,NGO Collaboration,Partnerships,NGOs are needed to complement police efforts in responding to GBV.,"""The police alone cannot handle GBV cases.""",Strengthen partnerships between government and NGOs.
SW03,Government,Social Worker,RQ2,Access Pathways,Community-Based Support,Rural Women's Assembly,"The Rural Women's Assembly serves as a community platform where survivors receive counselling, support and empowerment.","""The women meet to discuss businesses, receive counselling and support.""",Strengthen community-based survivor groups.
SW03,Government,Social Worker,RQ2,Access Pathways,Community Victim Support Unit,Healing sessions,Recent GBV survivors attend weekly healing sessions at the Community Victim Support Unit (CVSU).,"""On Wednesdays they meet at the CVSU for healing sessions.""",Expand community healing programmes.
SW03,Government,Social Worker,RQ2,Access Pathways,Safe Shelter Referral,Referral to shelters,Severe GBV cases are referred to safe shelters for temporary accommodation.,"""For severe cases we refer women to safe shelters.""",Strengthen referral pathways to shelters.
SW03,Government,Social Worker,RQ2,Access Pathways,Traditional Leaders,Chiefs as referral agents,Community chiefs identify survivors and refer them to social workers.,"""Chiefs are able to direct survivors to us.""",Continue engaging traditional leaders in GBV response.
SW03,Government,Social Worker,RQ2,Access Pathways,Community Task Force,Community referral,Community task forces identify abuse cases and connect survivors to services.,"""Community task forces look into abuse cases.""",Support community task force activities.
